slide_id,label
51532,1
51534,1
51535,1
51796,1
51865,1
51903,1
51910,1
51918,1
51926,1
51930,1
51935,1
51943,1
51946,1
51959,1
51994,1
52002,1
52019,1
52028,1
52032,1
27143,1
27237,1
27250,1
28150,1
70359,1
30830,1
30832,1
25598,0
25671,0
25728,0
4437,1
30288,0
30325,0
30363,0
30366,0
30458,1
30464,1
30506,1
30508,1
30513,1
4831,1
4833,1
4859,1
4861,1
4866,1
4892,1
4925,1
70463,1
70464,1
44484,1
44486,1
44491,1
6074,1
6077,1
6082,1
6085,1
6088,1
6095,1
6107,1
30276,1
30278,1
30546,1
30549,1
49783,1
49789,1
49795,1
49799,1
28622,0
28714,1
28720,1
28737,1
28748,1
28752,1
28754,1
28757,1
28775,1
28779,1
28782,1
26135,1
26140,1
26459,1
26467,1
26472,1
26474,1
26476,1
26483,1
26485,1
26507,1
26509,1
26515,1
26516,1
26518,1
26522,1
26526,1
26528,1
26530,1
26556,1
26561,1
26564,1
26566,1
26570,1
26573,1
26575,1
26578,1
26610,1
26613,1
26620,1
26623,1
26626,1
26632,1
26639,1
13139,1
13141,1
13144,1
32751,1
32754,1
32758,1
35383,1
35384,1
31163,1
24972,1
24976,0
25021,1
25030,0
25038,0
3633,0
42992,1
42994,1
29328,0
29365,0
29379,0
29403,0
29410,0
29415,0
29457,0
22197,1
22203,1
22210,1
38649,1
38659,1
38665,1
38679,1
36342,1
27709,0
27750,0
27777,0
27824,0
27833,0
27850,0
27861,0
27886,0
4757,0
4784,1
4794,1
11876,1
11893,1
11961,1
11974,1
11985,1
10603,0
31952,1
31990,1
32021,1
62100,0
6302,1
6380,1
6383,1
6385,1
6413,1
6414,1
6418,1
19778,1
19781,1
60342,0
60369,0
60528,1
45113,0
33533,1
33550,1
70536,1
25299,0
47494,1
47499,1
29950,0
29966,0
30011,0
30025,0
30049,0
30052,0
30062,0
30065,0
30077,0
30079,0
30081,0
30086,0
30113,0
52368,1
52370,1
52372,1
52373,1
52375,1
52376,1
52389,1
52390,1
52391,1
52394,1
52395,1
52396,1
52413,1
52414,1
52417,1
27390,0
27393,0
27415,0
27469,1
27479,1
27483,1
27534,1
27540,1
27542,1
25637,1
25656,1
25658,1
