slide_id,label
29538,1
29541,1
29545,1
29553,1
29557,1
29560,1
29565,1
29570,1
29572,1
29577,1
29579,1
29583,1
29586,1
29588,1
29595,1
29597,1
29602,1
29607,1
29609,1
29611,1
29613,1
29619,1
29621,1
29625,1
29629,1
29633,1
29637,1
29639,1
29641,1
29647,1
29650,1
29652,1
29658,1
29662,1
29664,1
71007,1
8317,1
8325,1
8327,1
8366,1
8370,1
8376,1
8381,1
8402,1
8409,1
8414,1
8416,1
8428,1
8430,1
8433,1
41384,0
41429,0
41449,0
41451,0
41458,0
41464,0
41469,0
41505,0
41521,0
41694,0
41697,0
41716,0
41721,0
41727,0
41732,0
41736,0
41743,0
41751,0
41763,0
41777,0
41787,0
41805,0
41818,0
65615,1
65622,1
65626,1
65630,1
65638,1
65654,1
65662,1
65666,1
65674,1
65686,1
65698,1
65706,1
65710,1
65714,1
65725,1
65733,1
65745,1
65749,1
65761,1
70964,1
70965,1
24630,0
24645,0
24656,0
24728,0
24946,0
24949,0
24954,0
24964,0
24968,0
24982,0
25017,0
25020,0
25029,0
25035,0
25037,0
31330,0
31335,0
31340,0
31347,0
31365,0
31371,0
31385,0
31391,0
31433,0
31469,0
31509,0
31515,0
31521,0
31562,0
31569,0
31583,0
31626,0
31654,0
31673,0
31713,0
31731,0
31806,0
70980,0
43540,0
43767,0
43768,0
43769,0
43773,0
43781,0
43804,0
43809,0
43819,0
43828,0
43853,0
43858,0
43870,0
43872,0
43893,0
43899,0
43901,0
25353,0
25354,0
35478,0
35498,0
35502,0
35524,0
35527,0
35531,0
35579,0
35644,0
35650,0
35669,0
35703,0
35713,0
35719,0
47669,0
47678,0
47762,0
47817,0
47820,0
47851,0
47854,0
47882,0
48010,0
48013,0
48018,0
48020,0
48021,0
48035,0
48042,0
48044,0
48053,0
48054,0
48055,0
48062,0
48069,0
48074,0
48077,0
48079,0
13607,0
13618,0
13638,0
13656,0
13672,0
13684,0
13710,0
13747,0
33580,0
33628,0
33637,0
33643,0
33655,0
70513,0
46013,1
46018,1
46023,1
46029,1
46032,1
46035,1
46038,1
46048,1
46060,1
46071,1
46073,1
46078,1
46080,1
46082,1
46089,1
46111,1
46117,1
46123,1
46126,1
46136,1
46138,1
46142,1
46150,1
46357,1
46358,1
46360,1
46365,1
46374,1
46378,1
46380,1
46389,1
46397,1
46400,1
46403,1
46406,1
46409,1
46412,1
45228,0
45265,0
45297,0
45311,0
45357,0
45377,0
45514,0
45522,0
45531,0
45546,0
45553,0
45568,0
45575,0
45583,0
45588,0
45590,0
45601,0
45614,0
45623,0
45663,0
45668,0
70738,0
70739,0
10109,0
10115,0
10131,0
10140,0
10173,0
10220,0
10235,0
10266,0
10304,0
10482,0
10533,0
10550,0
10554,0
10559,0
10579,0
10603,0
10642,0
10654,0
10670,0
46731,1
46805,1
46838,1
46847,1
46853,1
46860,1
46880,1
46891,1
46896,1
46908,1
46919,1
46924,1
46935,1
46950,1
46955,1
46961,1
46978,1
46989,1
46994,1
47004,1
70092,1
63435,1
63485,1
63489,1
63497,1
63505,1
63509,1
63517,1
63526,1
63530,1
63534,1
63538,1
63550,1
63553,1
63566,1
63571,1
63575,1
63579,1
63595,1
63598,1
63605,1
63609,1
63612,1
63620,1
63672,1
63687,1
63691,1
63760,1
63768,1
63777,1
63855,1
63865,1
63941,1
63944,1
63952,1
70929,1
71285,1
42034,0
42054,0
42056,0
42067,0
42131,0
42381,0
42412,0
42416,0
42429,0
42437,0
42468,0
42473,0
42483,0
42488,0
42516,0
42521,0
42526,0
27672,1
27678,1
27684,1
27686,1
27689,1
46753,1
46756,1
46759,1
46765,1
46769,1
46774,1
46781,1
46783,1
46787,1
46792,1
46795,1
46800,1
46806,1
46811,1
46815,1
46820,1
46823,1
46826,1
46833,1
46835,1
46839,1
15441,1
15446,1
15451,1
15478,1
15485,1
15530,1
15568,1
15578,1
15588,1
15599,1
15616,1
15623,1
15629,1
15644,1
15671,1
15679,1
15696,1
15707,1
15716,1
15726,1
15733,1
15740,1
15750,1
38251,1
