slide_id,label
TENX121,True
TENX120,False
NCBI844,True
NCBI843,True
NCBI842,True
NCBI841,False
NCBI840,False
NCBI839,False
NCBI838,False
NCBI837,False
NCBI836,False
NCBI835,False
NCBI834,False
NCBI833,False
NCBI832,False
NCBI831,False
NCBI830,True
NCBI829,True
NCBI828,True
NCBI827,False
NCBI826,False
NCBI675,False
NCBI674,False
NCBI673,False
NCBI672,False
NCBI643,False
NCBI642,False
NCBI627,False
NCBI626,False
NCBI625,False
NCBI624,False
NCBI623,False
NCBI622,False
NCBI621,False
NCBI620,False
NCBI619,False
NCBI618,False
